"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"E1-Survival"
"04/28/2014 16:51:29:936 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","max-seed-val","num-patches","hed-eud","init-si","[step]","sum [energy] of foragers"
"2","30","5","0","1","102","282.3545252213338"
"4","30","5","0","2","102","321.01585426288335"
"3","30","5","0","1","107","449.80099221938144"
"1","30","5","0","1","102","432.9025454960294"
"5","30","5","0","2","102","190.19450313192885"
"6","30","5","0","2","102","341.9674262867433"
"7","30","5","0","3","105","234.36882215813608"
"8","30","5","0","3","102","192.4746994313197"
"9","30","5","0","3","107","341.40887906574915"
"10","30","5","0","4","102","229.0624530761428"
"11","30","5","0","4","114","282.6612463161109"
"12","30","5","0","4","107","193.56098360300302"
"13","30","5","0","5","108","338.60486141181696"
"14","30","5","0","5","102","184.85781668799126"
"15","30","5","0","5","108","357.0533865039381"
"17","30","5","0","6","102","142.45559686572477"
"18","30","5","0","6","108","163.62437962747867"
"16","30","5","0","6","109","225.9559180431126"
"19","30","5","0","7","102","182.41683670905397"
"20","30","5","0","7","108","441.63049178595304"
"23","30","5","0","8","102","224.97333148896288"
"22","30","5","0","8","107","304.88255913555724"
"21","30","5","0","7","147","581.6221211639788"
"24","30","5","0","8","107","335.6749031685425"
"25","30","5","0","9","104","209.09469176149878"
"26","30","5","0","9","102","133.9352792576383"
"27","30","5","0","9","107","311.5118311459595"
"28","30","5","0","10","104","285.1168494450725"
"29","30","5","0","10","116","188.2201517974794"
"30","30","5","0","10","104","289.0238290832152"
"34","30","10","0","2","109","351.0409973545887"
"35","30","10","0","2","107","359.32826774469316"
"31","30","10","0","1","501","3213.310524948164"
"36","30","10","0","2","127","599.9656378178302"
"32","30","10","0","1","501","2842.938329944405"
"33","30","10","0","1","501","3583.0753144277664"
"37","30","10","0","3","108","497.32004266319865"
"38","30","10","0","3","102","343.3772063115277"
"39","30","10","0","3","136","570.7229215385814"
"41","30","10","0","4","105","333.2203124515045"
"40","30","10","0","4","132","350.94499664268415"
"42","30","10","0","4","122","291.28391228966643"
"44","30","10","0","5","114","246.16209396852378"
"45","30","10","0","5","124","276.48913044691034"
"43","30","10","0","5","248","1015.2499621517065"
"48","30","10","0","6","501","2991.5591001505272"
"46","30","10","0","6","501","3891.389850147385"
"47","30","10","0","6","501","4056.423400467348"
"49","30","10","0","7","501","9365.265273355459"
"53","30","10","0","8","197","954.7290674641943"
"50","30","10","0","7","501","5930.508666932723"
"52","30","10","0","8","501","3533.654448263561"
"51","30","10","0","7","501","6155.062276324316"
"56","30","10","0","9","158","465.12276110043643"
"58","30","10","0","10","137","453.7606838275318"
"57","30","10","0","9","173","620.6632963896072"
"54","30","10","0","8","501","4401.330315878667"
"59","30","10","0","10","102","306.66894841796267"
"55","30","10","0","9","501","1453.2393997439149"
"60","30","10","0","10","152","567.949669615989"
"61","30","15","0","1","501","6969.518259164269"
"63","30","15","0","1","501","7880.051925454335"
"62","30","15","0","1","501","9199.340101531585"
"64","30","15","0","2","501","4062.1441665038765"
"65","30","15","0","2","501","4478.985355794183"
"66","30","15","0","2","501","2957.931230105292"
"67","30","15","0","3","501","7764.2376389250585"
"68","30","15","0","3","501","5871.29775856854"
"71","30","15","0","4","125","608.1056946167032"
"69","30","15","0","3","501","6047.082173462274"
"70","30","15","0","4","501","7215.814530682107"
"73","30","15","0","5","501","6961.619839507636"
"72","30","15","0","4","501","6187.269303524745"
"74","30","15","0","5","501","9286.472957573233"
