"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"E3-Difficult500"
"04/28/2014 15:05:47:591 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","num-patches","max-seed-val","error-val","eval","h-mult","init-si","pref","[step]","control","sum [energy] of foragers"
"2","20","20","0.1","6","0.1","1","0.4","250","1654.8578414151575","2551.430868945797"
"1","20","20","0.1","6","0.1","1","0.3","250","896.1357166966369","936.0851568220987"
"3","20","20","0.1","6","0.1","1","0.5","250","4771.379362802255","6900.210843726446"
"6","20","20","0.1","6","0.1","2","0.3","250","847.0119785471667","910.8777121927379"
"4","20","20","0.1","6","0.1","1","0.6","250","8898.56325535102","8114.64091186134"
"7","20","20","0.1","6","0.1","2","0.4","250","2269.4886162712023","3304.1095966663993"
"8","20","20","0.1","6","0.1","2","0.5","250","4948.867163650353","6427.182041444835"
"5","20","20","0.1","6","0.1","1","0.7","250","11154.907720420793","5928.692936538612"
"9","20","20","0.1","6","0.1","2","0.6","250","8851.277078067082","7355.525215321362"
"10","20","20","0.1","6","0.1","2","0.7","250","12417.012461063952","5074.058324206243"
