"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"difficult_at_250"
"04/24/2014 11:27:15:169 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","num-patches","error-val","pref","[step]","control","sum [energy] of foragers"
"4","10","0.1","0.2","51","1167.4252253125198","1393.671022363644"
"3","10","0.1","0.2","51","1452.8100656222675","1662.1999946401318"
"2","10","0.1","0.2","51","2380.555649563335","2137.3098964238384"
"1","10","0.1","0.2","51","1692.9490080039243","1970.9741800134013"
"6","10","0.1","0.5","51","1283.9417761524476","1183.2590596252276"
"5","10","0.1","0.2","51","1835.1701989681599","2124.7312072076847"
"7","10","0.1","0.5","51","1154.865353798002","1096.1264074956791"
"8","10","0.1","0.5","51","1187.5901050543766","970.5974616295255"
"10","10","0.1","0.5","51","1206.0981708412107","1272.1295760642213"
"9","10","0.1","0.5","51","1667.1362914821198","1819.5381641727815"
"11","10","0.1","0.8","51","987.6469368532232","1086.5321282173275"
"12","10","0.1","0.8","51","987.3178142854268","1125.551410710051"
"13","10","0.1","0.8","51","973.7866169465789","1203.952525815956"
"14","10","0.1","0.8","51","896.2773483116408","1000.0280508125433"
"15","10","0.1","0.8","51","1117.949561837615","1415.6117228546286"
