"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"difficult_at_500"
"04/25/2014 16:48:28:283 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","num-patches","max-seed-val","error-val","eval","h-mult","init-si","pref","[step]","control","sum [energy] of foragers"
"2","20","20","0.1","5","0.1","1","0.3","750","823.2063667916765","695.8268882384624"
"1","20","20","0.1","5","0.1","1","0.3","750","723.4616462551127","690.794162101388"
"3","20","20","0.1","5","0.1","1","0.4","750","1300.6556708123892","3215.7887338800288"
"4","20","20","0.1","5","0.1","1","0.4","750","1674.8250735497825","2980.4516308510065"
"5","20","20","0.1","5","0.1","1","0.5","750","3947.304873004685","3875.2931291557998"
"6","20","20","0.1","5","0.1","1","0.5","750","4235.103606413537","2979.806259246286"
"7","20","20","0.1","5","0.1","1","0.6","750","7735.21213660313","2754.5742063836556"
"8","20","20","0.1","5","0.1","1","0.6","750","8809.273947642254","2697.5344957354355"
"11","20","20","0.1","5","0.1","2","0.3","750","482.9066841818728","274.7441976484432"
"12","20","20","0.1","5","0.1","2","0.3","750","694.7692529825205","668.2244388005341"
"13","20","20","0.1","5","0.1","2","0.4","750","1129.9967936018536","2071.6885103603204"
"9","20","20","0.1","5","0.1","1","0.7","750","10545.812032765336","3200.031412516075"
"14","20","20","0.1","5","0.1","2","0.4","750","1011.9960499261337","1780.0583455947663"
"10","20","20","0.1","5","0.1","1","0.7","750","9955.944056021777","3138.2993869917746"
"15","20","20","0.1","5","0.1","2","0.5","750","3899.2807976053014","2192.6617332277287"
"16","20","20","0.1","5","0.1","2","0.5","750","2585.6315274102935","3107.2059122899436"
"17","20","20","0.1","5","0.1","2","0.6","750","6718.1820470454495","1746.3061384194013"
"18","20","20","0.1","5","0.1","2","0.6","750","7446.731210433915","2111.349804928719"
"21","20","20","0.1","5","0.1","3","0.3","750","349.5080184803816","167.38982036129943"
"22","20","20","0.1","5","0.1","3","0.3","750","277.92999360201344","302.5844649415062"
"23","20","20","0.1","5","0.1","3","0.4","750","1272.4102513812286","1140.833953777671"
"19","20","20","0.1","5","0.1","2","0.7","750","11620.761262772807","2034.6870453183496"
"20","20","20","0.1","5","0.1","2","0.7","750","11798.46606813443","1745.0253435167122"
"24","20","20","0.1","5","0.1","3","0.4","750","1274.2359037242798","1112.6086401732898"
"25","20","20","0.1","5","0.1","3","0.5","750","2866.1711424401174","2372.3433926069624"
"26","20","20","0.1","5","0.1","3","0.5","750","2931.3610811046224","2068.0657290675636"
"27","20","20","0.1","5","0.1","3","0.6","750","5767.39557111856","1592.2967994420283"
"31","20","20","0.1","5","0.1","4","0.3","750","390.50892692164086","169.6757199333141"
"28","20","20","0.1","5","0.1","3","0.6","750","6338.601840920273","1325.414093481426"
"29","20","20","0.1","5","0.1","3","0.7","750","10846.540893673762","1852.3260619583793"
"32","20","20","0.1","5","0.1","4","0.3","750","499.2310041422014","197.04563354205436"
"30","20","20","0.1","5","0.1","3","0.7","750","11459.376021998922","1848.5959187812514"
"33","20","20","0.1","5","0.1","4","0.4","750","1170.6717181880442","1116.7201558092104"
"34","20","20","0.1","5","0.1","4","0.4","750","1197.7162842365583","1443.100283539206"
"36","20","20","0.1","5","0.1","4","0.5","750","2574.912725862416","1552.754819266845"
"35","20","20","0.1","5","0.1","4","0.5","750","3277.7028793056993","1552.5041495150485"
"38","20","20","0.1","5","0.1","4","0.6","750","4755.452080330804","1199.506348926115"
"37","20","20","0.1","5","0.1","4","0.6","750","6875.9803462670125","1151.9430579771065"
"41","20","20","0.1","5","0.1","5","0.3","750","298.2683562169142","103.15522861258523"
"39","20","20","0.1","5","0.1","4","0.7","750","8049.282466902023","1183.2263069928765"
"40","20","20","0.1","5","0.1","4","0.7","750","7852.960097455289","907.1749124304059"
"42","20","20","0.1","5","0.1","5","0.3","750","545.1191709044983","638.2439250309927"
"43","20","20","0.1","5","0.1","5","0.4","750","1782.1188176868447","2349.826079323254"
"44","20","20","0.1","5","0.1","5","0.4","750","1131.9765432931517","2086.6612373210146"
"45","20","20","0.1","5","0.1","5","0.5","750","2585.127306767857","3449.659989886759"
"46","20","20","0.1","5","0.1","5","0.5","750","3308.747456141093","2790.800886118033"
"47","20","20","0.1","5","0.1","5","0.6","750","8018.532733099922","1859.149772714275"
"48","20","20","0.1","5","0.1","5","0.6","750","8052.983462803065","1979.8813674356193"
"51","20","20","0.1","5","0.1","6","0.3","750","490.31244641531947","500.2990577620406"
"52","20","20","0.1","5","0.1","6","0.3","750","506.1298067845616","595.8129474416403"
"49","20","20","0.1","5","0.1","5","0.7","750","11814.484798057081","2603.233368757746"
"50","20","20","0.1","5","0.1","5","0.7","750","11508.93551410131","2346.9094038687394"
"54","20","20","0.1","5","0.1","6","0.4","750","978.8576915687464","1608.3547480161783"
"53","20","20","0.1","5","0.1","6","0.4","750","1487.6548340411803","2487.4205306064487"
"55","20","20","0.1","5","0.1","6","0.5","750","3781.58291191544","2875.8830413316796"
"56","20","20","0.1","5","0.1","6","0.5","750","3799.3662691748","2923.8392974827616"
"57","20","20","0.1","5","0.1","6","0.6","750","8913.677296111206","2025.6354804402283"
"58","20","20","0.1","5","0.1","6","0.6","750","9240.652263334687","1850.3244505175214"
"61","20","20","0.1","5","0.1","7","0.3","750","379.38808957926767","205.09892333867995"
"62","20","20","0.1","5","0.1","7","0.3","750","130.56317526751695","134.7530449525135"
"59","20","20","0.1","5","0.1","6","0.7","750","13757.037644044714","1944.8795145903446"
"64","20","20","0.1","5","0.1","7","0.4","750","664.6789678995514","716.5740282690325"
