"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"experiment"
"04/11/2014 18:04:35:078 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","num-patches","error-val","pref","control","[step]","sum [energy] of foragers"
"3","10","0.1","0.1","false","0","3134.9225895835893"
"2","10","0.1","0.1","false","0","2523.5000484513785"
"1","10","0.1","0.1","false","0","2139.6337201112783"
"4","10","0.1","0.1","true","501","743.9689682538211"
"5","10","0.1","0.1","true","501","583.2932550558935"
"8","10","0.1","0.25","false","0","2328.691337371791"
"7","10","0.1","0.25","false","0","2076.5632562547753"
"6","10","0.1","0.1","true","501","850.2263890342944"
"9","10","0.1","0.25","false","0","2386.5433666624053"
"10","10","0.1","0.25","true","501","1081.7299885982916"
"12","10","0.1","0.25","true","501","1070.3041743416873"
"13","10","0.1","0.5","false","0","2421.9137888254677"
"11","10","0.1","0.25","true","501","1402.2986844944905"
"15","10","0.1","0.5","false","0","2106.735342953793"
"14","10","0.1","0.5","false","0","2293.7007473280723"
"16","10","0.1","0.5","true","501","910.2172463648061"
"17","10","0.1","0.5","true","501","581.4121545158918"
"18","10","0.1","0.5","true","501","1241.5975428999832"
