"BehaviorSpace results (NetLogo 5.0.4)"
"forage_12_model.nlogo"
"experiment2"
"04/12/2014 21:48:34:783 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","num-patches","error-val","pref","[step]","control","sum [energy] of foragers"
"4","25","0.1","0.2","51","5442.279315670996","4973.78754586836"
"3","25","0.1","0.2","51","5721.32430131164","5570.8747380052155"
"2","25","0.1","0.2","51","5409.070707059746","5079.362488034843"
"1","25","0.1","0.2","51","5176.988956838046","4427.742169439278"
"5","25","0.1","0.2","51","5279.096371425974","4859.813272402548"
"6","25","0.1","0.5","51","4249.178181937163","4192.87295647028"
"7","25","0.1","0.5","51","3917.083853533129","4255.336289951734"
"8","25","0.1","0.5","51","4377.46052468189","4332.976386240725"
"10","25","0.1","0.5","51","4597.030380962323","4379.298189108765"
"11","25","0.1","0.8","51","3819.71567362138","4108.16178851446"
"9","25","0.1","0.5","51","4294.146385740863","3990.986765927277"
"12","25","0.1","0.8","51","3380.2806744847153","3784.714815320924"
"15","25","0.1","0.8","51","3227.5467182352704","3445.190560299299"
"14","25","0.1","0.8","51","3242.9344307770884","3437.15487395879"
"13","25","0.1","0.8","51","3439.9243149774925","3759.7669804842076"
