"BehaviorSpace results (NetLogo 5.0.4)"
"forage_13_model.nlogo"
"E2-Initial_Vals"
"04/30/2014 21:24:05:928 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","hed-eud","num-patches","max-seed-val","init-si","eval","h-mult","pref","[step]","sum [energy] of foragers"
"1","1","10","10","1","4","0.05","0.3","207","289.5530292903323"
"3","1","10","10","1","4","0.05","0.5","258","273.85901056896654"
"2","1","10","10","1","4","0.05","0.3","196","255.26835011144664"
"4","1","10","10","1","4","0.05","0.5","251","228.6512605453731"
"5","1","10","10","1","4","0.05","0.7","264","261.4934815018598"
"6","1","10","10","1","4","0.05","0.7","247","208.32674790510256"
"8","1","10","10","1","4","0.2","0.3","501","1341.5398984101835"
"7","1","10","10","1","4","0.2","0.3","501","1006.7050085306872"
"10","1","10","10","1","4","0.2","0.5","501","1647.7442398968053"
"9","1","10","10","1","4","0.2","0.5","501","2026.5617385769986"
"11","1","10","10","1","4","0.2","0.7","501","2615.4788370164047"
"13","1","10","10","1","4","0.5","0.3","501","2916.7792492787166"
"14","1","10","10","1","4","0.5","0.3","501","2816.153778007314"
"12","1","10","10","1","4","0.2","0.7","501","2794.8657519674057"
"15","1","10","10","1","4","0.5","0.5","501","4267.2823091216715"
"16","1","10","10","1","4","0.5","0.5","501","4089.389758006779"
"17","1","10","10","1","4","0.5","0.7","501","4889.044376897005"
"19","1","10","10","1","10","0.05","0.3","185","176.9729354706896"
"20","1","10","10","1","10","0.05","0.3","229","220.9241896826098"
"22","1","10","10","1","10","0.05","0.5","214","192.28781326261463"
"18","1","10","10","1","4","0.5","0.7","501","5289.899476131604"
"23","1","10","10","1","10","0.05","0.7","245","269.9867565437509"
"21","1","10","10","1","10","0.05","0.5","501","228.74166307287962"
"24","1","10","10","1","10","0.05","0.7","501","399.29269731424495"
"26","1","10","10","1","10","0.2","0.3","501","2411.351958896036"
"25","1","10","10","1","10","0.2","0.3","501","2567.7865558666585"
"27","1","10","10","1","10","0.2","0.5","501","3148.546181796371"
"28","1","10","10","1","10","0.2","0.5","501","3080.084710700214"
"29","1","10","10","1","10","0.2","0.7","501","3495.3034476760367"
"31","1","10","10","1","10","0.5","0.3","501","4982.317382036323"
"30","1","10","10","1","10","0.2","0.7","501","3084.2176292017807"
"32","1","10","10","1","10","0.5","0.3","501","4857.741820922182"
"33","1","10","10","1","10","0.5","0.5","501","4848.2306340941095"
"34","1","10","10","1","10","0.5","0.5","501","4452.95400765476"
"35","1","10","10","1","10","0.5","0.7","501","4878.159373304995"
"36","1","10","10","1","10","0.5","0.7","501","5104.695272120129"
"37","1","10","10","1","25","0.05","0.3","501","548.88554880261"
"38","1","10","10","1","25","0.05","0.3","501","400.6408902954136"
"41","1","10","10","1","25","0.05","0.7","277","222.66712993525266"
"42","1","10","10","1","25","0.05","0.7","203","325.2712464717268"
"40","1","10","10","1","25","0.05","0.5","501","365.33705341584374"
"39","1","10","10","1","25","0.05","0.5","501","444.0782381183002"
"43","1","10","10","1","25","0.2","0.3","501","2911.501631382185"
"44","1","10","10","1","25","0.2","0.3","501","2523.844566326341"
"45","1","10","10","1","25","0.2","0.5","501","2918.1381639118154"
"46","1","10","10","1","25","0.2","0.5","501","2872.095611406121"
"47","1","10","10","1","25","0.2","0.7","501","3121.8370927050214"
"48","1","10","10","1","25","0.2","0.7","501","3183.7587480850657"
"49","1","10","10","1","25","0.5","0.3","501","4240.391014744982"
"50","1","10","10","1","25","0.5","0.3","501","4411.300993561563"
"51","1","10","10","1","25","0.5","0.5","501","4463.048623885879"
"52","1","10","10","1","25","0.5","0.5","501","4585.433309027931"
"55","1","10","10","2","4","0.05","0.3","209","178.64926483065548"
"56","1","10","10","2","4","0.05","0.3","251","177.64734217937422"
"53","1","10","10","1","25","0.5","0.7","501","4922.042250102534"
"57","1","10","10","2","4","0.05","0.5","266","203.2909052224"
"58","1","10","10","2","4","0.05","0.5","228","185.98759952440665"
"59","1","10","10","2","4","0.05","0.7","243","225.1448325585453"
"60","1","10","10","2","4","0.05","0.7","192","159.72014698580483"
"54","1","10","10","1","25","0.5","0.7","501","5101.174277201711"
"61","1","10","10","2","4","0.2","0.3","501","832.5609227025284"
"62","1","10","10","2","4","0.2","0.3","501","914.1612711313519"
"63","1","10","10","2","4","0.2","0.5","501","2064.197265850828"
"64","1","10","10","2","4","0.2","0.5","501","1737.1518931852465"
"65","1","10","10","2","4","0.2","0.7","501","2812.590397453806"
"67","1","10","10","2","4","0.5","0.3","501","2420.3002532763844"
"66","1","10","10","2","4","0.2","0.7","501","2764.072196124579"
"68","1","10","10","2","4","0.5","0.3","501","2776.686195468637"
"69","1","10","10","2","4","0.5","0.5","501","4644.039366105181"
"70","1","10","10","2","4","0.5","0.5","501","4333.092175605387"
"71","1","10","10","2","4","0.5","0.7","501","5464.815579338773"
"74","1","10","10","2","10","0.05","0.3","501","293.15247883925707"
"73","1","10","10","2","10","0.05","0.3","501","362.1901526575575"
"75","1","10","10","2","10","0.05","0.5","501","282.20278347673866"
"76","1","10","10","2","10","0.05","0.5","310","202.47222868927614"
"77","1","10","10","2","10","0.05","0.7","322","171.63388051761015"
