"BehaviorSpace results (NetLogo 5.0.4)"
"forage_Value_model.nlogo"
"E1"
"05/23/2014 22:34:16:127 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","pref","num-patches","init-seed","[step]","mean edata","standard-deviation edata","mean hdata","standard-deviation hdata"
"4","0.15","1","2","0","49.429366666666674","11.512650039501898","-0.702600000000001","0.27754327639175536"
"2","0.15","1","1","0","51.82286666666667","11.17590623699018","-0.6879999999999986","0.25011708969712215"
"2","0.15","1","1","1","51.82286666666667","11.17590623699018","-0.6879999999999986","0.25011708969712215"
"4","0.15","1","2","1","49.429366666666674","11.512650039501898","-0.702600000000001","0.27754327639175536"
"3","0.15","1","1","0","54.5245666666666","8.450246533604862","-0.6680000000000005","0.24526751957027612"
"3","0.15","1","1","1","54.5245666666666","8.450246533604862","-0.6680000000000005","0.24526751957027612"
"1","0.15","1","1","0","48.403066666666625","12.840883016754853","-0.718799999999998","0.2697393544133305"
"1","0.15","1","1","1","48.403066666666625","12.840883016754853","-0.718799999999998","0.2697393544133305"
"5","0.15","1","2","0","48.41673333333331","9.672909056204839","-0.6957999999999989","0.25291565061562776"
"5","0.15","1","2","1","48.41673333333331","9.672909056204839","-0.6957999999999989","0.25291565061562776"
"6","0.15","1","2","0","54.28900000000004","9.921468590053987","-0.6775999999999996","0.2571465814751656"
"6","0.15","1","2","1","54.28900000000004","9.921468590053987","-0.6775999999999996","0.2571465814751656"
"7","0.15","1","3","0","56.406033333333276","10.871029369158222","-0.6626000000000009","0.28503066937170696"
"7","0.15","1","3","1","56.406033333333276","10.871029369158222","-0.6626000000000009","0.28503066937170696"
"8","0.15","1","3","0","50.87333333333331","9.087603894566733","-0.7059999999999997","0.24450722644491135"
"8","0.15","1","3","1","50.87333333333331","9.087603894566733","-0.7059999999999997","0.24450722644491135"
"9","0.15","1","3","0","47.200500000000005","11.205077775830338","-0.7271999999999985","0.23874077397285237"
"9","0.15","1","3","1","47.200500000000005","11.205077775830338","-0.7271999999999985","0.23874077397285237"
"10","0.15","1","4","0","47.811933333333315","10.422904109757146","-0.7046000000000001","0.2508421052410495"
"10","0.15","1","4","1","47.811933333333315","10.422904109757146","-0.7046000000000001","0.2508421052410495"
"11","0.15","1","4","0","54.60130000000004","14.702668809214437","-0.6756000000000009","0.2695873092660651"
"11","0.15","1","4","1","54.60130000000004","14.702668809214437","-0.6756000000000009","0.2695873092660651"
"13","0.15","1","5","0","53.425866666666614","10.099893007072405","-0.6595999999999995","0.2700384431164568"
"13","0.15","1","5","1","53.425866666666614","10.099893007072405","-0.6595999999999995","0.2700384431164568"
"14","0.15","1","5","0","53.69500000000002","9.573420777621003","-0.6782000000000001","0.25844061513537464"
"14","0.15","1","5","1","53.69500000000002","9.573420777621003","-0.6782000000000001","0.25844061513537464"
"12","0.15","1","4","0","53.75346666666676","8.280972315175733","-0.6592000000000011","0.2499556717456898"
"12","0.15","1","4","1","53.75346666666676","8.280972315175733","-0.6592000000000011","0.2499556717456898"
"15","0.15","1","5","0","53.432999999999915","10.107663004224195","-0.7042000000000009","0.25886167999410264"
"15","0.15","1","5","1","53.432999999999915","10.107663004224195","-0.7042000000000009","0.25886167999410264"
"16","0.15","3","1","0","65.84333333333332","7.281874233947299","-0.5614000000000015","0.2833908085142322"
"16","0.15","3","1","1","65.84333333333332","7.281874233947299","-0.5614000000000015","0.2833908085142322"
"17","0.15","3","1","0","65.96916666666674","7.658124194065238","-0.5510000000000019","0.2806381259874678"
"17","0.15","3","1","1","65.96916666666674","7.658124194065238","-0.5510000000000019","0.2806381259874678"
"19","0.15","3","2","0","69.17529999999992","8.243110787325303","-0.5368000000000022","0.2912225447498359"
"19","0.15","3","2","1","69.17529999999992","8.243110787325303","-0.5368000000000022","0.2912225447498359"
"18","0.15","3","1","0","69.17959999999985","8.442338487727413","-0.48980000000000046","0.3042178635591744"
"18","0.15","3","1","1","69.17959999999985","8.442338487727413","-0.48980000000000046","0.3042178635591744"
"20","0.15","3","2","0","63.88113333333337","8.249942157038644","-0.575000000000001","0.2981004258028886"
"20","0.15","3","2","1","63.88113333333337","8.249942157038644","-0.575000000000001","0.2981004258028886"
"21","0.15","3","2","0","68.6891666666667","7.310082911519157","-0.5462000000000024","0.2818954150478959"
"21","0.15","3","2","1","68.6891666666667","7.310082911519157","-0.5462000000000024","0.2818954150478959"
"22","0.15","3","3","0","67.86466666666682","7.850659559692347","-0.5238000000000004","0.2969203962709909"
"22","0.15","3","3","1","67.86466666666682","7.850659559692347","-0.5238000000000004","0.2969203962709909"
"23","0.15","3","3","0","68.19343333333335","9.757858964924479","-0.4886000000000008","0.31630695548800447"
"23","0.15","3","3","1","68.19343333333335","9.757858964924479","-0.4886000000000008","0.31630695548800447"
"24","0.15","3","3","0","65.0861","9.487486980186016","-0.5550000000000013","0.2821606184686566"
"24","0.15","3","3","1","65.0861","9.487486980186016","-0.5550000000000013","0.2821606184686566"
"25","0.15","3","4","0","61.58130000000001","8.350256841651268","-0.6078000000000019","0.25947347935094855"
"25","0.15","3","4","1","61.58130000000001","8.350256841651268","-0.6078000000000019","0.25947347935094855"
"26","0.15","3","4","0","67.62953333333341","8.941597667081146","-0.5140000000000012","0.29915463140906445"
"26","0.15","3","4","1","67.62953333333341","8.941597667081146","-0.5140000000000012","0.29915463140906445"
"27","0.15","3","4","0","66.94309999999999","7.112946862569442","-0.561200000000002","0.2759904540572569"
"27","0.15","3","4","1","66.94309999999999","7.112946862569442","-0.561200000000002","0.2759904540572569"
"28","0.15","3","5","0","64.13926666666666","11.54483391859691","-0.5676000000000004","0.2994660580431775"
"28","0.15","3","5","1","64.13926666666666","11.54483391859691","-0.5676000000000004","0.2994660580431775"
"29","0.15","3","5","0","69.21563333333333","7.847227119259323","-0.5014000000000012","0.28969287523506954"
"29","0.15","3","5","1","69.21563333333333","7.847227119259323","-0.5014000000000012","0.28969287523506954"
"30","0.15","3","5","0","67.4680666666667","8.12393355070906","-0.5404000000000033","0.2861638162481925"
"30","0.15","3","5","1","67.4680666666667","8.12393355070906","-0.5404000000000033","0.2861638162481925"
"32","0.15","5","1","0","69.93896666666667","8.870907265083192","-0.49860000000000143","0.31024876195449147"
"32","0.15","5","1","1","69.93896666666667","8.870907265083192","-0.49860000000000143","0.31024876195449147"
"33","0.15","5","1","0","68.76783333333344","9.437146669679489","-0.4954000000000005","0.2982411570990634"
"33","0.15","5","1","1","68.76783333333344","9.437146669679489","-0.4954000000000005","0.2982411570990634"
"31","0.15","5","1","0","71.87899999999998","7.20505861512765","-0.453799999999999","0.2930382763930871"
"31","0.15","5","1","1","71.87899999999998","7.20505861512765","-0.453799999999999","0.2930382763930871"
"34","0.15","5","2","0","72.85806666666656","7.957475081449778","-0.4611999999999997","0.3123333349357904"
"34","0.15","5","2","1","72.85806666666656","7.957475081449778","-0.4611999999999997","0.3123333349357904"
"35","0.15","5","2","0","71.44013333333329","9.88240434690242","-0.456800000000001","0.3355090555057007"
"35","0.15","5","2","1","71.44013333333329","9.88240434690242","-0.456800000000001","0.3355090555057007"
"36","0.15","5","2","0","68.95113333333326","7.285307205829106","-0.481199999999999","0.28713935468515994"
"36","0.15","5","2","1","68.95113333333326","7.285307205829106","-0.481199999999999","0.28713935468515994"
"37","0.15","5","3","0","68.42393333333337","7.899773713936246","-0.5244000000000026","0.2760449978551331"
"37","0.15","5","3","1","68.42393333333337","7.899773713936246","-0.5244000000000026","0.2760449978551331"
"38","0.15","5","3","0","66.50346666666664","10.420491092882292","-0.5166000000000021","0.32408250410885925"
"38","0.15","5","3","1","66.50346666666664","10.420491092882292","-0.5166000000000021","0.32408250410885925"
"39","0.15","5","3","0","71.03286666666662","7.749497549665545","-0.43939999999999996","0.2930076679772957"
"39","0.15","5","3","1","71.03286666666662","7.749497549665545","-0.43939999999999996","0.2930076679772957"
"40","0.15","5","4","0","74.39753333333334","6.329171008476812","-0.4300000000000002","0.2979744767405224"
"40","0.15","5","4","1","74.39753333333334","6.329171008476812","-0.4300000000000002","0.2979744767405224"
"41","0.15","5","4","0","72.26960000000007","7.186742005680449","-0.4674000000000006","0.31252986243703973"
"41","0.15","5","4","1","72.26960000000007","7.186742005680449","-0.4674000000000006","0.31252986243703973"
"42","0.15","5","4","0","67.5227666666666","6.376297424660852","-0.5228000000000015","0.3142911690438328"
"42","0.15","5","4","1","67.5227666666666","6.376297424660852","-0.5228000000000015","0.3142911690438328"
"43","0.15","5","5","0","68.85393333333337","7.90506441853823","-0.4820000000000008","0.31473013051669546"
"43","0.15","5","5","1","68.85393333333337","7.90506441853823","-0.4820000000000008","0.31473013051669546"
"44","0.15","5","5","0","73.95403333333331","5.504656460920405","-0.4634000000000005","0.29412063332406346"
"44","0.15","5","5","1","73.95403333333331","5.504656460920405","-0.4634000000000005","0.29412063332406346"
"46","0.15","7","1","0","72.77423333333333","6.994657181431591","-0.4337999999999989","0.29588022087511273"
"46","0.15","7","1","1","72.77423333333333","6.994657181431591","-0.4337999999999989","0.29588022087511273"
"47","0.15","7","1","0","66.6421666666667","6.980890927646645","-0.5250000000000011","0.27887770217924085"
"47","0.15","7","1","1","66.6421666666667","6.980890927646645","-0.5250000000000011","0.27887770217924085"
"45","0.15","5","5","0","72.04386666666666","7.996609234706043","-0.47020000000000184","0.31023895340238716"
"45","0.15","5","5","1","72.04386666666666","7.996609234706043","-0.47020000000000184","0.31023895340238716"
"48","0.15","7","1","0","71.55526666666675","8.257968385725235","-0.4339999999999986","0.2839095007297287"
"48","0.15","7","1","1","71.55526666666675","8.257968385725235","-0.4339999999999986","0.2839095007297287"
"50","0.15","7","2","0","71.59609999999994","6.506294387487911","-0.47180000000000005","0.3137246932952264"
"50","0.15","7","2","1","71.59609999999994","6.506294387487911","-0.47180000000000005","0.3137246932952264"
"49","0.15","7","2","0","73.8591999999999","6.1872231593629365","-0.4132","0.3192611590652526"
