"BehaviorSpace results (NetLogo 5.0.4)"
"forage_taskv10-mat-_model.nlogo"
"experiment"
"03/18/2014 22:53:34:692 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","mem-short","obs-mult","wither-rate","rep-energy","wan-val","e-per-tick","num-patches","hed-eud","nhf-dropoff","collect-rate","max-seed-val","max-nhf","pref","eat-mult","soc-mult","view-radius","num-foragers","example-ticks","error-std","die-chance","const-energ-dec","init-si","[step]","mean [energy] of foragers","count turtles"
"1","100","1","0.05","5","1","0.1","5","1","0.1","0.05","25","1.5","0.25","1","1","5","200","500","0.1","0.1","0.1","1","316","58.63308512474925","201"
"3","100","1","0.05","5","1","0.1","5","1","0.1","0.05","25","1.5","0.75","1","1","5","200","500","0.1","0.1","0.1","1","217","48.50936079742665","200"
"4","100","1","0.05","5","1","0.1","10","1","0.1","0.05","25","1.5","0.25","1","1","5","200","500","0.1","0.1","0.1","1","614","136.1510437757045","496"
"6","100","1","0.05","5","1","0.1","10","1","0.1","0.05","25","1.5","0.75","1","1","5","200","500","0.1","0.1","0.1","1","190","66.26415146205584","292"
"7","100","1","0.05","5","1","0.1","25","1","0.1","0.05","25","1.5","0.25","1","1","5","200","500","0.1","0.1","0.1","1","175","42.5963205625219","486"
"5","100","1","0.05","5","1","0.1","10","1","0.1","0.05","25","1.5","0.5","1","1","5","200","500","0.1","0.1","0.1","1","472","109.13080689145838","457"
"9","100","1","0.05","5","1","0.1","25","1","0.1","0.05","25","1.5","0.75","1","1","5","200","500","0.1","0.1","0.1","1","116","46.316032850841786","462"
"2","100","1","0.05","5","1","0.1","5","1","0.1","0.05","25","1.5","0.5","1","1","5","200","500","0.1","0.1","0.1","1","640","94.61017500197116","309"
"10","100","1","0.05","5","1","0.1","45","1","0.1","0.05","25","1.5","0.25","1","1","5","200","500","0.1","0.1","0.1","1","195","67.68085103154381","913"
"12","100","1","0.05","5","1","0.1","45","1","0.1","0.05","25","1.5","0.75","1","1","5","200","500","0.1","0.1","0.1","1","157","64.78662790533713","871"
"11","100","1","0.05","5","1","0.1","45","1","0.1","0.05","25","1.5","0.5","1","1","5","200","500","0.1","0.1","0.1","1","226","87.54660027560072","1061"
"13","100","1","0.05","5","1","0.1","50","1","0.1","0.05","25","1.5","0.25","1","1","5","200","500","0.1","0.1","0.1","1","139","48.94795717367063","736"
"15","100","1","0.05","5","1","0.1","50","1","0.1","0.05","25","1.5","0.75","1","1","5","200","500","0.1","0.1","0.1","1","353","162.33320469688041","1533"
"8","100","1","0.05","5","1","0.1","25","1","0.1","0.05","25","1.5","0.5","1","1","5","200","500","0.1","0.1","0.1","1","652","167.25968276188394","1404"
"14","100","1","0.05","5","1","0.1","50","1","0.1","0.05","25","1.5","0.5","1","1","5","200","500","0.1","0.1","0.1","1","715","170.12102685100572","2516"
