"BehaviorSpace results (NetLogo 5.0.4)"
"forage_taskv10-nowan-_model.nlogo"
"experiment"
"03/19/2014 00:08:41:748 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","nhf-dropoff","error-std","collect-rate","const-energ-dec","rep-energy","num-foragers","hed-eud","rep-mult","e-per-tick","num-patches","die-chance","pref","example-ticks","init-si","wither-rate","soc-mult","max-nhf","view-radius","mem-short","eat-mult","max-seed-val","obs-mult","[step]","count foragers","mean [energy] of foragers","sum [energy] of foragers"
"4","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","13","14.42163023468055","187.48119305084714"
"3","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","12","18.676043253276873","224.11251903932248"
"1","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","19","11.347797419890151","215.60815097791289"
"2","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","20","8.424022548098922","168.48045096197845"
"5","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","14","11.794620080143188","165.12468112200463"
"6","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","21","7.99678690546219","167.932525014706"
"7","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","23","9.859615774889312","226.77116282245416"
"8","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","23","8.422612997375627","193.7200989396394"
"9","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","22","8.45006720498467","185.90147850966275"
"10","0.1","0.1","0.05","0.1","5","200","1","1","0.1","3","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","18","10.186064914323344","183.34916845782018"
"11","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","27","21.8723219691304","590.5526931665208"
"12","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","25","11.775299124671642","294.38247811679105"
"13","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","28","14.105352354389465","394.949865922905"
"14","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","24","13.156778748151225","315.7626899556294"
"15","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.05","500","1","0.05","1","1.5","9","50","1","5","1","250","19","13.394441275586619","254.49438423614575"
"16","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","60","15.426431481718915","925.5858889031349"
"17","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","73","17.438329472598816","1272.9980514997137"
"18","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","67","14.130280434509594","946.7287891121427"
"19","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","59","18.150417644114263","1070.8746410027416"
"20","0.1","0.1","0.05","0.1","5","200","1","1","0.1","9","0.1","0.95","500","1","0.05","1","1.5","9","50","1","5","1","250","71","15.428247457323119","1095.4055694699414"
